@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute 1-1 numeric

@data
295,'2018/02/28 04:54:54:188',2,-605.954285,400.796783,1245.579956,?
296,'2018/02/28 04:54:54:204',2,-605.954285,400.796783,1245.579956,?
297,'2018/02/28 04:54:54:236',2,-605.954285,400.796783,1245.579956,?
298,'2018/02/28 04:54:54:238',2,-605.954285,400.796783,1245.579956,?
299,'2018/02/28 04:54:54:270',2,-606.070435,400.908661,1245.920288,?
300,'2018/02/28 04:54:54:271',2,-606.070435,400.908661,1245.920288,?
301,'2018/02/28 04:54:54:300',2,-605.920166,400.830872,1245.670044,?
302,'2018/02/28 04:54:54:305',2,-605.920166,400.830872,1245.670044,?
303,'2018/02/28 04:54:54:335',2,-605.920166,400.830872,1245.670044,?
304,'2018/02/28 04:54:54:339',2,-605.920166,400.830872,1245.670044,?
305,'2018/02/28 04:54:54:354',2,-605.920166,400.830872,1245.670044,?
306,'2018/02/28 04:54:54:385',2,-605.325928,400.95166,1246.036255,?
307,'2018/02/28 04:54:54:389',2,-605.325928,400.95166,1246.036255,?
308,'2018/02/28 04:54:54:416',2,-605.325928,400.95166,1246.036255,?
309,'2018/02/28 04:54:54:422',2,-605.325928,400.95166,1246.036255,?
310,'2018/02/28 04:54:54:448',2,-605.225708,400.822784,1245.626221,?
311,'2018/02/28 04:54:54:456',2,-605.225708,400.822784,1245.626221,?
312,'2018/02/28 04:54:54:471',2,-605.225708,400.822784,1245.626221,?
313,'2018/02/28 04:54:54:504',2,-605.225708,400.822784,1245.626221,?
314,'2018/02/28 04:54:54:505',2,-605.225708,400.822784,1245.626221,?
315,'2018/02/28 04:54:54:534',2,-605.32135,400.818573,1245.60376,?
316,'2018/02/28 04:54:54:537',2,-605.32135,400.818573,1245.60376,?
317,'2018/02/28 04:54:54:569',2,-605.32135,400.818573,1245.60376,?
318,'2018/02/28 04:54:54:571',2,-605.32135,400.818573,1245.60376,?
319,'2018/02/28 04:54:54:601',2,-605.32135,400.818573,1245.60376,?
320,'2018/02/28 04:54:54:605',2,-605.32135,400.818573,1245.60376,?
321,'2018/02/28 04:54:54:636',2,-605.213867,400.678314,1245.158813,?
322,'2018/02/28 04:54:54:638',2,-605.213867,400.678314,1245.158813,?
323,'2018/02/28 04:54:54:668',2,-605.213867,400.678314,1245.158813,?
324,'2018/02/28 04:54:54:672',2,-605.213867,400.678314,1245.158813,?
325,'2018/02/28 04:54:54:688',2,-605.213867,400.678314,1245.158813,?
326,'2018/02/28 04:54:54:716',2,-605.213867,400.678314,1245.158813,?
327,'2018/02/28 04:54:54:721',2,-605.213867,400.678314,1245.158813,?
328,'2018/02/28 04:54:54:739',2,-605.213867,400.678314,1245.158813,?
329,'2018/02/28 04:54:54:768',2,-605.013428,400.477142,1244.524902,?
330,'2018/02/28 04:54:54:771',2,-605.013428,400.477142,1244.524902,?
331,'2018/02/28 04:54:54:802',2,-604.938232,400.361084,1244.15625,?
332,'2018/02/28 04:54:54:806',2,-604.938232,400.361084,1244.15625,?
333,'2018/02/28 04:54:54:836',2,-604.888245,400.265289,1243.851318,?
334,'2018/02/28 04:54:54:838',2,-604.888245,400.265289,1243.851318,?
335,'2018/02/28 04:54:54:856',2,-604.888245,400.265289,1243.851318,?
336,'2018/02/28 04:54:54:871',2,-604.888245,400.265289,1243.851318,?
337,'2018/02/28 04:54:54:905',2,-605.097168,400.345337,1244.093506,?
338,'2018/02/28 04:54:54:906',2,-605.097168,400.345337,1244.093506,?
339,'2018/02/28 04:54:54:936',2,-605.097168,400.345337,1244.093506,?
340,'2018/02/28 04:54:54:937',2,-605.097168,400.345337,1244.093506,?
341,'2018/02/28 04:54:54:967',2,-605.213196,400.36911,1244.161621,?
342,'2018/02/28 04:54:54:972',2,-605.213196,400.36911,1244.161621,?
343,'2018/02/28 04:54:55:002',2,-605.251526,400.346985,1244.087769,?
344,'2018/02/28 04:54:55:005',2,-605.251526,400.346985,1244.087769,?
345,'2018/02/28 04:54:55:034',2,-605.273193,400.319427,1243.997681,?
346,'2018/02/28 04:54:55:039',2,-605.273193,400.319427,1243.997681,?
