@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
146,'2018/02/28 01:18:17:729',2,704.902466,791.455627,2586.793945,0.441092,0.496355,0.36868
147,'2018/02/28 01:18:17:745',2,704.902466,791.455627,2586.793945,0.441092,0.496355,0.36868
148,'2018/02/28 01:18:17:779',2,671.318237,753.098083,2462.222168,0.441092,0.496355,0.36868
149,'2018/02/28 01:18:17:794',2,671.318237,753.098083,2462.222168,0.441092,0.496355,0.36868
150,'2018/02/28 01:18:17:827',2,642.662048,723.157532,2360.673828,0.441092,0.496355,0.36868
151,'2018/02/28 01:18:17:843',2,642.662048,723.157532,2360.673828,0.441092,0.496355,0.36868
152,'2018/02/28 01:18:17:874',2,619.338501,697.53186,2278.11084,0.441092,0.496355,0.36868
153,'2018/02/28 01:18:17:893',2,619.338501,697.53186,2278.11084,0.441092,0.496355,0.36868
154,'2018/02/28 01:18:17:910',2,619.338501,697.53186,2278.11084,0.441092,0.496355,0.36868
155,'2018/02/28 01:18:17:927',2,619.338501,697.53186,2278.11084,0.441092,0.496355,0.36868
156,'2018/02/28 01:18:17:959',2,673.217407,758.68335,2479.568359,0.441092,0.496355,0.36868
157,'2018/02/28 01:18:17:977',2,673.217407,758.68335,2479.568359,0.441092,0.496355,0.36868
158,'2018/02/28 01:18:17:996',2,673.217407,758.68335,2479.568359,0.441092,0.496355,0.36868
159,'2018/02/28 01:18:18:026',2,722.010315,813.980164,2661.715088,0.441092,0.496355,0.36868
160,'2018/02/28 01:18:18:045',2,722.010315,813.980164,2661.715088,0.441092,0.496355,0.36868
161,'2018/02/28 01:18:18:060',2,722.010315,813.980164,2661.715088,0.441092,0.496355,0.36868
162,'2018/02/28 01:18:18:078',2,722.010315,813.980164,2661.715088,0.441092,0.496355,0.36868
163,'2018/02/28 01:18:18:110',2,691.096252,780.756042,2549.491211,0.441092,0.496355,0.36868
164,'2018/02/28 01:18:18:127',2,691.096252,780.756042,2549.491211,0.441092,0.496355,0.36868
165,'2018/02/28 01:18:18:160',2,663.685547,751.208069,2449.749756,0.441092,0.496355,0.36868
166,'2018/02/28 01:18:18:179',2,663.685547,751.208069,2449.749756,0.441092,0.496355,0.36868
167,'2018/02/28 01:18:18:193',2,663.685547,751.208069,2449.749756,0.441092,0.496355,0.36868
168,'2018/02/28 01:18:18:225',2,641.747192,726.2547,2369.811279,0.441092,0.496355,0.36868
169,'2018/02/28 01:18:18:243',2,641.747192,726.2547,2369.811279,0.441092,0.496355,0.36868
170,'2018/02/28 01:18:18:260',2,641.747192,726.2547,2369.811279,0.441092,0.496355,0.36868
171,'2018/02/28 01:18:18:293',2,622.295105,702.723145,2298.723145,0.441092,0.496355,0.36868
172,'2018/02/28 01:18:18:326',2,681.813599,771.674622,2518.53125,0.441092,0.496355,0.36868
173,'2018/02/28 01:18:18:333',2,681.813599,771.674622,2518.53125,0.441092,0.496355,0.36868
174,'2018/02/28 01:18:18:343',2,681.813599,771.674622,2518.53125,0.441092,0.496355,0.36868
175,'2018/02/28 01:18:18:376',2,734.306885,830.337341,2712.223877,0.441092,0.496355,0.36868
176,'2018/02/28 01:18:18:393',2,734.306885,830.337341,2712.223877,0.441092,0.496355,0.36868
177,'2018/02/28 01:18:18:427',2,706.42041,798.497559,2609.391357,0.441092,0.496355,0.36868
178,'2018/02/28 01:18:18:434',2,706.42041,798.497559,2609.391357,0.441092,0.496355,0.36868
179,'2018/02/28 01:18:18:443',2,706.42041,798.497559,2609.391357,0.441092,0.496355,0.36868
180,'2018/02/28 01:18:18:461',2,706.42041,798.497559,2609.391357,0.441092,0.496355,0.36868
181,'2018/02/28 01:18:18:477',2,706.42041,798.497559,2609.391357,0.441092,0.496355,0.36868
182,'2018/02/28 01:18:18:507',2,680.484802,767.535156,2513.619629,0.441092,0.496355,0.36868
183,'2018/02/28 01:18:18:528',2,680.484802,767.535156,2513.619629,0.441092,0.496355,0.36868
184,'2018/02/28 01:18:18:544',2,680.484802,767.535156,2513.619629,0.441092,0.496355,0.36868
185,'2018/02/28 01:18:18:578',2,655.327515,741.584595,2420.619629,0.441092,0.496355,0.36868
186,'2018/02/28 01:18:18:594',2,655.327515,741.584595,2420.619629,0.441092,0.496355,0.36868
187,'2018/02/28 01:18:18:626',2,633.453491,719.015442,2339.655518,0.441092,0.496355,0.36868
188,'2018/02/28 01:18:18:645',2,633.453491,719.015442,2339.655518,0.441092,0.496355,0.36868
189,'2018/02/28 01:18:18:673',2,692.088623,784.186951,2555.478027,0.441092,0.496355,0.36868
190,'2018/02/28 01:18:18:693',2,692.088623,784.186951,2555.478027,0.441092,0.496355,0.36868
191,'2018/02/28 01:18:18:710',2,692.088623,784.186951,2555.478027,0.441092,0.496355,0.36868
192,'2018/02/28 01:18:18:726',2,692.088623,784.186951,2555.478027,0.441092,0.496355,0.36868
193,'2018/02/28 01:18:18:760',2,744.895325,840.755981,2749.786865,0.441092,0.496355,0.36868
194,'2018/02/28 01:18:18:790',2,790.277954,891.388611,2916.715332,0.441092,0.496355,0.36868
195,'2018/02/28 01:18:18:797',2,790.277954,891.388611,2916.715332,0.441092,0.496355,0.36868
196,'2018/02/28 01:18:18:810',2,790.277954,891.388611,2916.715332,0.441092,0.496355,0.36868
197,'2018/02/28 01:18:18:827',2,790.277954,891.388611,2916.715332,0.441092,0.496355,0.36868
198,'2018/02/28 01:18:18:860',2,829.046509,934.634277,3059.262207,0.441092,0.496355,0.36868
199,'2018/02/28 01:18:18:877',2,829.046509,934.634277,3059.262207,0.441092,0.496355,0.36868
200,'2018/02/28 01:18:18:894',2,829.046509,934.634277,3059.262207,0.441092,0.496355,0.36868
201,'2018/02/28 01:18:18:928',2,785.873779,886.997131,2899.71167,0.441092,0.496355,0.36868
202,'2018/02/28 01:18:18:945',2,785.873779,886.997131,2899.71167,0.441092,0.496355,0.36868
203,'2018/02/28 01:18:18:961',2,785.873779,886.997131,2899.71167,0.441092,0.496355,0.36868
204,'2018/02/28 01:18:18:991',2,819.170166,926.357727,3029.756348,0.441092,0.496355,0.36868
